"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","geneID"
"GO:0007409","axonogenesis","146/3634","455/18888",2.87709210273946e-11,8.56140407143758e-09,6.88050447226566e-09,146,"POU3F2/PALLD/CNTNAP1/ALCAM/DPYSL5/LRP4/NTRK2/UNC5D/COBL/RGMA/NOTCH1/NEFH/SEMA5B/FEZF2/MAP1B/SEMA3F/PLXND1/LMX1A/WNT7B/NRXN1/SEMA6B/EIF4G2/ACTB/NECTIN1/NGFR/NR2E1/GLI3/PLEKHG4B/BCL2/FGF8/PTPRZ1/ATL1/SLITRK4/PRICKLE1/ETV1/TUBB3/RTN4/NOVA2/BAIAP2/SLIT2/BARHL2/SLITRK3/LRRC4C/PITPNA/ARHGAP35/ACTG1/SEMA4D/CHN1/FEZF1/SEMA4C/NRP2/CTNNA2/SEMA6A/NELL2/EPHA7/SLIT3/VCL/ROBO1/ARHGEF25/TBR1/EPHB2/MAP1A/ROBO3/EPHA3/SEMA6D/CHRNB2/USP9X/KALRN/NEFL/EFNA5/ANK3/LHX9/SEMA4F/PTK7/EFNB2/PLXNB1/OLFM1/NIN/VASP/PAK1/BMPR1B/KIF5A/STMN1/CTTN/SEMA5A/CHL1/GDF7/SMAD4/FGF13/PTPRM/EGR2/EPHB1/SHTN1/EPHA4/CDH4/ARX/LMO4/LHX2/PARD6B/YTHDF1/LAMA2/PAK3/LYPLA2/PLXNA4/S100A6/OTX2/UNC5A/RND2/RELN/SLIT1/SLC25A46/PLEKHG4/SEMA6C/SLITRK6/SEMA3A/LHX1/IST1/TOP2B/RPL24/FLRT3/NRDC/RTN4R/NEXN/PTPRS/STK11/PTPRO/PLXNA1/PSEN1/ARK2C/APLP2/CRABP2/DRD2/KIF13B/MAP6/GLI2/RAB3A/FLRT2/EDN1/ITGB1/FLOT1/UNC5B/FZD3/RAB8A/FEZ1/VAX2/UST"
"GO:0010975","regulation of neuron projection development","147/3634","460/18888",3.44559948901074e-11,9.78706873037642e-09,7.86552878567955e-09,147,"POU3F2/NFATC4/PPP3CA/DPYSL5/TMEM106B/FZD1/LRP4/NTRK2/SFRP2/COBL/ATP1B2/RGMA/DPYSL3/SEMA5B/ENC1/PREX1/FEZF2/MAP1B/SEMA3F/PLXND1/SARM1/IL1RAPL1/TENM3/SEMA6B/EIF4G2/DBN1/GPC2/NR2E1/ITGA3/RAPGEF1/FLNA/RTN4/NOVA2/BAIAP2/SLIT2/KANK1/CHRNA3/LRRC4C/ARHGAP35/TRPV4/EHD1/ZNF365/SEMA4D/SETX/PTPRD/CHN1/FAT3/YWHAH/SEMA4C/CTNNA2/LRIG2/VIM/SEMA6A/EPHA7/STMN2/ARHGAP44/ROBO1/CBFA2T2/CFLAR/TBR1/EPHB2/SRCIN1/ROBO3/EPHA3/SEMA6D/CHRNB2/LZTS1/NEFL/EFNA5/DAB2/FKBP4/SEMA4F/CFL1/PTK7/NR2F1/ROR2/EFNB2/PLXNB1/DAB2IP/CAMK2G/NIN/P3H1/PAK1/FUT9/VLDLR/CNR1/PRAG1/SEMA5A/PTN/LPAR1/FGF13/ARC/PLA2G3/FKBP1B/SHTN1/EPHA4/ARF6/CDH4/RETREG3/SCARB2/TBX6/YTHDF1/NSMF/PAK3/PLXNA4/PRKCI/CUL7/RND2/RELN/EZH2/SLIT1/SEMA6C/SEMA3A/CAPRIN1/ADCY6/IST1/MFSD2A/FBXO38/NRDC/RTN4R/NTRK3/NDNF/PTPRS/DDX56/NLGN1/STK11/CRK/ITM2C/PTPRO/PLXNA1/GRID2/PSEN1/KIF26A/CRABP2/KIF13B/RTN4RL1/ABI2/MAP6/LRP8/SNX3/PUM2/PDLIM5/STK24/MDK/ELAVL4/FEZ1/UST"
"GO:0000280","nuclear division","143/3634","446/18888",4.89707179879666e-11,1.33051311611654e-08,1.06928739368691e-08,143,"RRS1/CALR/DCAF13/UHRF1/NCAPD2/KIF2C/CDK1/KPNB1/BCCIP/TOP2A/NUDC/KIF22/RACGAP1/SPC24/KNTC1/NUSAP1/UBE2C/NUMA1/INSR/RCC1/CYP26B1/FGF8/NUF2/KIF23/PTTG1/FLNA/TOM1L1/PRICKLE1/INCENP/TPX2/PRMT5/KLHDC8B/NEK2/KIF18A/HNRNPU/RANBP1/EGF/UBE2S/TESMIN/INO80/PHIP/CEP97/DLGAP5/AURKA/CENPC/MAD2L1/ABRAXAS1/STAG1/PLK1/ASPM/BUB1/NCAPG/SPHK1/NME6/TTK/UBXN2B/CKS2/KNSTRN/PLCB1/CCNB2/BAZ1B/RAD51C/EML3/PDE3A/CDC16/RPS6KA2/ZW10/SMC4/KIFC1/CDKN1B/RAD21/NFIA/CDC25C/PINX1/KIF18B/AKAP8L/AURKB/CHMP4A/CLASP2/CEP192/CHMP3/KIF3B/ANLN/DRG1/MEIOC/SUN1/PSRC1/KIF14/MSH5/MKI67/KNL1/KIF11/FBXO5/BUB3/CHMP1B/L3MBTL1/CCNB1IP1/SMC1A/HSPA1B/SKA2/PRC1/CENPS/KIF20B/MASTL/CDCA2/USP16/CUL7/CHEK2/FANCD2/DAPK3/CLASP1/CENPX/ANAPC15/TOP2B/NDC80/CHAMP1/C9orf78/RPL24/TUBG2/FBXO43/NCAPG2/SPAG5/RAD50/KIF4A/KIF25/BIRC5/NCAPD3/LRP5/CHMP4B/MLH3/CHMP4C/CDT1/RAN/CDCA8/ACTR3/EDN1/SPIRE1/AGO4/NDE1/MAD2L2/SPC25/CDC25B/WNT4"
"GO:0048285","organelle fission","154/3634","493/18888",7.94063460404361e-11,2.06754273502785e-08,1.66161261824088e-08,154,"RRS1/CALR/DCAF13/UHRF1/NCAPD2/GDAP1/KIF2C/CDK1/KPNB1/BCCIP/TOP2A/NUDC/KIF22/RACGAP1/SPC24/KNTC1/NUSAP1/UBE2C/NUMA1/INSR/RCC1/CYP26B1/FGF8/NUF2/KIF23/PTTG1/FLNA/TOM1L1/PRICKLE1/INCENP/TPX2/PRMT5/KLHDC8B/NEK2/KIF18A/HNRNPU/RANBP1/EGF/UBE2S/TESMIN/INO80/PHIP/CEP97/DLGAP5/AURKA/CENPC/MAD2L1/ABRAXAS1/STAG1/PLK1/ASPM/BUB1/NCAPG/SPHK1/NME6/TTK/UBXN2B/CKS2/KNSTRN/PLCB1/CCNB2/BAZ1B/RAD51C/EML3/PDE3A/CDC16/RPS6KA2/ZW10/SMC4/KIFC1/CDKN1B/MIEF1/RAD21/NFIA/CDC25C/PINX1/KIF18B/AKAP8L/AURKB/CHMP4A/CLASP2/CEP192/CHMP3/KIF3B/ANLN/DRG1/MEIOC/SUN1/PGAM5/PSRC1/KIF14/MSH5/MKI67/KNL1/KIF11/FBXO5/BUB3/CHMP1B/L3MBTL1/CCNB1IP1/SMC1A/HSPA1B/SKA2/PRC1/CENPS/KIF20B/MASTL/CDCA2/USP16/CUL7/CHEK2/MTFR1L/DDHD2/SLC25A46/FANCD2/UCP2/DAPK3/CLASP1/CENPX/ANAPC15/TOP2B/NDC80/CHAMP1/C9orf78/RPL24/TUBG2/FBXO43/NCAPG2/SPAG5/AP3B1/RAD50/KIF4A/KIF25/BIRC5/STAT2/NCAPD3/LRP5/CHMP4B/MLH3/CHMP4C/CDT1/RAN/CDCA8/ACTR3/EDN1/PINK1/SPIRE1/AGO4/NDE1/MAD2L2/SPC25/VPS35/CDC25B/WNT4"
"GO:0007059","chromosome segregation","136/3634","423/18888",1.18083648858872e-10,2.95161888687637e-08,2.37211405770812e-08,136,"RRS1/DCAF13/UHRF1/NCAPD2/KIF2C/HAUS4/HJURP/CDK1/KPNB1/BCCIP/ACTB/TOP2A/NUDC/KIF22/RACGAP1/SPC24/KNTC1/NUSAP1/NEK7/UBE2C/NUMA1/PHF10/STARD9/RPS3/RCC1/MAPRE2/NUF2/KIF23/PTTG1/FLNA/CENPH/PRICKLE1/INCENP/TPX2/KLHDC8B/NEK2/GEM/KIF18A/HNRNPU/INO80/ARID2/CEP97/MMS19/DLGAP5/AURKA/CENPC/MAD2L1/ABRAXAS1/STAG1/PLK1/ASPM/BUB1/RMI2/NCAPG/TTK/KNSTRN/CCNB2/BAZ1B/EML3/SLC25A5/CDC16/ZW10/SMC4/KIFC1/RAD21/PINX1/KIF18B/AKAP8L/AURKB/USP9X/DIAPH3/CHMP4A/CLASP2/CEP192/CHMP3/KIF3B/DRG1/MEIOC/SUN1/FAM83D/PSRC1/KIF14/MSH5/MKI67/KNL1/KIF11/FBXO5/BUB3/CHMP1B/SGO2/CCNB1IP1/SMC1A/HSPA1B/SKA2/PRC1/CENPS/TOP3A/SMARCE1/CDCA2/SRPK1/DDX3X/STIL/CHEK2/FANCD2/CLASP1/CENPX/ANAPC15/RIOK3/TNKS/TOP2B/PUM1/NDC80/CHAMP1/C9orf78/TUBG2/NCAPG2/SPAG5/KIF4A/KIF25/BIRC5/TUBGCP6/NCAPD3/CHMP4B/MLH3/CHMP4C/CDT1/RAN/PUM2/CDCA8/ACTR3/OIP5/AGO4/NDE1/MAD2L2/SPC25/FIRRM"
"GO:0022618","protein-RNA complex assembly","86/3634","234/18888",2.32549493493935e-10,5.58923763401384e-08,4.49187705854074e-08,86,"DHX9/RRS1/HSP90AA1/SRSF1/RPF2/NOP2/EIF3J/WDR77/BOP1/SRSF6/HTATSF1/RPS14/NCBP1/PRPF19/TXNL4A/EIF3L/RPLP0/DDX42/PRMT5/DDX1/EIF2D/RPL5/SRSF9/RPSA/SETX/U2AF2/RPS27L/RPL13A/PPAN/EIF5/SF1/EIF3B/CELF2/GEMIN8/PTBP2/CD2BP2/FASTKD2/RBM5/LUC7L3/SRSF5/RPL10/EIF6/RPS19/ZNHIT6/DDX28/PUF60/SNRPD3/EIF3C/SF3A1/RUVBL1/MRPL20/DHX29/NOP53/EIF3M/RPS5/DICER1/EIF3E/EIF3A/STRAP/SNRPD1/DDX23/TAF9/CELF3/SF3B4/SF3B2/SRPK1/RPS28/GEMIN5/NUDT21/PIH1D2/AGO3/RRP7A/SNRPF/MRM2/DDX46/PRMT7/DENR/SNRPB2/SHQ1/LSM2/SF3A3/PIH1D1/AGO4/EIF3F/EIF2S3/MCTS1"
"GO:0098813","nuclear chromosome segregation","107/3634","317/18888",5.34449933403815e-10,1.23695467920016e-07,9.94097712385809e-08,107,"RRS1/DCAF13/UHRF1/NCAPD2/KIF2C/CDK1/KPNB1/BCCIP/ACTB/TOP2A/NUDC/KIF22/RACGAP1/SPC24/KNTC1/NUSAP1/UBE2C/NUMA1/PHF10/NUF2/KIF23/PTTG1/FLNA/PRICKLE1/INCENP/TPX2/KLHDC8B/NEK2/GEM/KIF18A/HNRNPU/INO80/ARID2/CEP97/DLGAP5/AURKA/CENPC/MAD2L1/ABRAXAS1/STAG1/PLK1/ASPM/BUB1/RMI2/NCAPG/TTK/KNSTRN/CCNB2/BAZ1B/EML3/CDC16/ZW10/SMC4/KIFC1/RAD21/PINX1/KIF18B/AKAP8L/AURKB/CHMP4A/CLASP2/CEP192/CHMP3/KIF3B/DRG1/MEIOC/SUN1/FAM83D/PSRC1/KIF14/MSH5/KNL1/KIF11/FBXO5/BUB3/CHMP1B/CCNB1IP1/SMC1A/HSPA1B/SKA2/PRC1/SMARCE1/CHEK2/FANCD2/CLASP1/ANAPC15/TOP2B/NDC80/CHAMP1/C9orf78/TUBG2/NCAPG2/SPAG5/KIF4A/KIF25/BIRC5/NCAPD3/CHMP4B/MLH3/CHMP4C/CDT1/RAN/CDCA8/ACTR3/AGO4/MAD2L2/SPC25"
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","24/3634","36/18888",6.85163026019425e-10,1.52913705342692e-07,1.22891458539048e-07,24,"RRS1/UTP4/DCAF13/WDR46/NOP14/UTP25/RRP36/UTP20/WDR43/DHX37/TSR1/NOL10/BMS1/BYSL/RPS8/RPS16/RPS19/RPP40/RPS21/FCF1/HEATR1/NOP9/GTF2H5/UTP3"
"GO:0071826","protein-RNA complex organization","87/3634","244/18888",1.06329261127791e-09,2.2912122509916e-07,1.84136807564679e-07,87,"DHX9/RRS1/HSP90AA1/SRSF1/RPF2/NOP2/EIF3J/WDR77/BOP1/SRSF6/HTATSF1/RPS14/NCBP1/PRPF19/TXNL4A/DYRK3/EIF3L/RPLP0/DDX42/PRMT5/DDX1/EIF2D/RPL5/SRSF9/RPSA/SETX/U2AF2/RPS27L/RPL13A/PPAN/EIF5/SF1/EIF3B/CELF2/GEMIN8/PTBP2/CD2BP2/FASTKD2/RBM5/LUC7L3/SRSF5/RPL10/EIF6/RPS19/ZNHIT6/DDX28/PUF60/SNRPD3/EIF3C/SF3A1/RUVBL1/MRPL20/DHX29/NOP53/EIF3M/RPS5/DICER1/EIF3E/EIF3A/STRAP/SNRPD1/DDX23/TAF9/CELF3/SF3B4/SF3B2/SRPK1/RPS28/GEMIN5/NUDT21/PIH1D2/AGO3/RRP7A/SNRPF/MRM2/DDX46/PRMT7/DENR/SNRPB2/SHQ1/LSM2/SF3A3/PIH1D1/AGO4/EIF3F/EIF2S3/MCTS1"
"GO:0007051","spindle organization","74/3634","197/18888",1.33937227919551e-09,2.78991245756425e-07,2.24215619089186e-07,74,"DCAF13/UHRF1/HAUS4/KPNB1/BCCIP/NUDC/RACGAP1/NEK7/EML1/NUMA1/STARD9/RPS3/RCC1/MAPRE2/NUF2/KIF23/FLNA/CENPH/PRICKLE1/INCENP/TPX2/NEK2/HNRNPU/INO80/CEP97/DLGAP5/AURKA/CKAP5/ABRAXAS1/STAG1/PLK1/ASPM/TTK/KNSTRN/CCNB2/EML3/KIFC1/PLK2/AURKB/CHMP4A/CLASP2/CEP192/CHMP3/KIF3B/DRG1/PSRC1/STMN1/SUN2/KIF11/FBXO5/CEP126/CHMP1B/KIZ/SMC1A/HSPA1B/MAP4/PRC1/DCTN1/STIL/CHEK2/CLASP1/TNKS/NDC80/TUBG2/SPAG5/KIF4A/BIRC5/TUBGCP6/CHMP4B/CHMP4C/RAN/CDCA8/SPC25/SUGT1"
